,Predicted_Survival
1,-0.0198210767306618
2,-0.0086206025258541
3,-0.0102288741918976
4,-0.00511071107627342
5,-0.014135489093504
6,-0.0132454553552549
7,-0.0109278893277964
8,-0.0086206025258541
9,-0.0102288741918976
10,-0.0198210767306618
11,-0.0124623771574214
12,-0.0124623771574214
13,-0.0140823903288161
14,-0.0231850499718388
15,-0.0181479647945792
16,-0.0160460524434206
17,-0.012393276371324
18,-0.0191077340007245
19,-0.0144836970697262
20,-0.0144377807773771
21,-0.00768361770291493
22,-0.00991712066843871
23,-0.0181479647945792
24,-0.0144377807773771
25,-0.0181479647945792
26,-0.0182128050646183
27,-0.0160460524434206
28,-0.014036474036467
29,-0.0143061901630119
30,-0.0109738056201455
31,-0.014135489093504
32,-0.017499462334681
33,-0.0144836970697262
34,-0.0185610130408405
35,-0.0109738056201455
36,-0.0140641721074492
37,-0.0124623771574214
38,-0.0105607573738842
39,-0.0100383441035455
40,-0.0212721361801509
41,-0.0144836970697262
42,-0.0143061901630119
43,-0.0187064272598144
44,-0.0143061901630119
45,-0.0160460524434206
46,-0.0198210767306618
47,-0.0144377807773771
48,-0.00996419504415541
49,-0.0102288741918976
50,-0.0143061901630119
51,-0.0160460524434206
52,-0.0144836970697262
53,-0.0166480992491526
54,-0.0102288741918976
55,-0.0198210767306618
56,-0.0196638645141074
57,-0.0140706488234649
58,-0.0181479647945792
59,-0.0144836970697262
60,-0.0145114413227689
61,-0.0124623771574214
62,-0.0157437607595475
63,-0.0132454553552549
64,-0.0155635444731193
65,-0.0144836970697262
66,-0.0144377807773771
67,-0.0157437607595475
68,-0.0162350510028913
69,-0.0181479647945792
70,-0.0191077340007245
71,-0.0140706488234649
72,-0.0165396931285357
73,0.00246904430507081
74,-0.0102288741918976
75,-0.0144836970697262
76,-0.0126979184969684
77,-0.0191077340007245
78,-0.0124623771574214
79,-0.0143061901630119
80,-0.0185610130408405
81,-0.0126416389852951
82,-0.017499462334681
83,-0.0137341823525939
84,-0.0140823903288161
85,-0.0115371338398335
86,-0.0113698337901225
87,-0.0142156289832779
88,-0.0166021829568035
89,-0.0123201513386646
90,-0.00334813394645216
91,-0.00160827166604349
92,-0.0144836970697262
93,-0.0128754254036827
94,-0.0137735612299251
95,-0.0144377807773771
96,-0.00843007243750205
97,-0.0124741186627726
98,-0.0151965358102337
99,-0.014135489093504
100,-0.0143061901630119
101,-0.00511071107627342
102,-0.0140706488234649
103,-0.0130258766014593
104,-0.0191077340007245
105,-0.0140706488234649
106,-0.017499462334681
107,-0.0140706488234649
108,-0.000708634070071165
109,-0.0107850047052805
110,-0.0102288741918976
111,-0.0102288741918976
112,-0.0162350510028913
113,-0.0150823581597796
114,-0.0159698402595087
115,-0.0102288741918976
116,-0.0143061901630119
117,-0.0212721361801509
118,0.00212541961773294
119,-0.0139905115620574
120,-0.0125477792081645
121,-0.00208214797893814
122,-0.0155635444731193
123,-0.0153424540186374
124,-0.0102288741918976
125,-0.0198210767306618
126,-0.0172758202416791
127,-0.00304584226257911
128,0.00246904430507081
129,-0.00268391439900019
130,-0.0201233684145349
131,-0.0102288741918976
132,-0.0129490859490746
133,-0.0185610130408405
134,-0.0140706488234649
135,-0.017499462334681
136,-0.0231850499718388
137,-0.0140706488234649
138,-0.0143061901630119
139,-0.0191077340007245
140,-0.0124623771574214
141,-0.0160460524434206
142,-0.0187064272598144
143,-0.0212721361801509
144,-0.0166480992491526
145,-0.0157437607595475
146,-0.0231850499718388
147,-0.00330769372950366
148,-0.0144836970697262
149,-0.0102288741918976
150,-0.0157437607595475
151,-0.0191077340007245
152,-0.0155635444731193
153,-0.0155978425511438
154,-0.0143061901630119
155,-0.014135489093504
156,-0.0115253923344822
157,-0.0115371338398335
158,-0.0157437607595475
159,-0.0181479647945792
160,-0.0143061901630119
161,-0.0143061901630119
162,-0.0187064272598144
163,-0.0160056122264721
164,-0.0139905115620574
165,-0.00178577857275781
166,-0.0113408142830311
167,-0.00447389764219438
168,0.000563064244038584
169,-0.0134065525670396
170,-0.0201233684145349
171,-0.0128754254036827
172,-0.0086206025258541
173,-0.0153424540186374
174,-0.0187064272598144
175,-0.0170981555937709
176,-0.0160460524434206
177,-0.00708599140520244
178,-0.0140706488234649
179,-0.0104095879887481
180,-0.0144377807773771
181,-0.0147800664759065
182,-0.0086206025258541
183,-0.0143061901630119
184,-0.0086206025258541
185,-0.0144836970697262
186,-0.0144836970697262
187,-0.0181479647945792
188,-0.0179081629389739
189,-0.0160460524434206
190,-0.00996419504415541
191,-0.0102288741918976
192,-0.0102288741918976
193,-0.000708634070071165
194,0.00023799108882403
195,-0.00193622977053445
196,-0.00225559057915328
197,0.00172411287682287
198,0.00015013928880391
199,-0.0156447457025105
200,-0.0137735612299251
201,-0.0191077340007245
202,-0.0156027083055965
203,-0.0191077340007245
204,-0.0227837432309287
205,-0.00843007243750205
206,-0.0140706488234649
207,-0.0198210767306618
208,-0.0140706488234649
209,-0.0102288741918976
210,-0.0109277660367697
211,-0.00249861731326535
212,-0.0201233684145349
213,-0.0143061901630119
214,-0.0086206025258541
215,-0.0100025227191818
216,-0.017499462334681
217,-0.00843007243750205
218,-0.0165624775117418
219,-0.0131985042705648
220,-0.0160157565518578
221,-0.0102288741918976
222,-0.0102288741918976
223,-0.0166480992491526
224,-0.0113408142830311
225,-0.0153818328959686
226,-0.012393276371324
227,-0.0119384405807435
228,-0.0131985042705648
229,-0.0115253923344822
230,-0.0191077340007245
231,-0.0208708294392409
232,-0.0143061901630119
233,-0.0143061901630119
234,-0.018210454622847
235,-0.0181479647945792
236,-0.0181479647945792
237,-0.00160827166604349
238,-0.0198210767306618
239,-0.0143061901630119
240,-0.0102288741918976
241,-0.0191077340007245
242,-0.0113408142830311
243,-0.0191077340007245
244,-0.014036474036467
245,-0.0143061901630119
246,-0.0185610130408405
247,-0.0143061901630119
248,-0.0165396931285357
249,-0.0181440397170835
250,-0.0162350510028913
251,-0.0231850499718388
252,-0.0140706488234649
253,-0.0144836970697262
254,-0.0117609336740292
255,-0.0115253923344822
256,-0.0128754254036827
257,-0.0160460524434206
258,-0.0215767783057953
259,-0.0102288741918976
260,-0.0140706488234649
261,-0.0128754254036827
262,-0.0198210767306618
263,-0.0144836970697262
264,-0.0102288741918976
265,-0.0115648780928762
266,-0.0160460524434206
267,-0.0159648512140293
268,-0.0128754254036827
269,-0.012393276371324
270,-0.0128754254036827
271,-0.0102288741918976
272,-0.0231850499718388
273,-0.0231850499718388
274,-0.017499462334681
275,-0.0140706488234649
276,-0.0140706488234649
277,-0.0117982809009961
278,-0.00843007243750205
279,-0.0125018629158153
280,-0.0181479647945792
281,-0.0212721361801509
282,-0.0102288741918976
283,-0.0140706488234649
284,-0.0150011569303884
285,-0.0143061901630119
286,-0.0185610130408405
287,-0.0191077340007245
288,-0.0119384405807435
289,-0.0143061901630119
290,-0.0165624775117418
291,-0.0107001988662722
292,-0.0212721361801509
293,-0.0156447457025105
294,-0.0145114413227689
295,-0.0162350510028913
296,-0.0166480992491526
297,-0.0191077340007245
298,-0.0135882641441903
299,-0.0103448710097356
300,-0.0124623771574214
301,-0.0103448710097356
302,-0.0119394753730844
303,-0.00600850876284603
304,-0.00137273032649647
305,-0.0149542058456983
306,-0.0131985042705648
307,-0.00708599140520244
308,-0.0135882641441903
309,-0.0140706488234649
310,-0.0157437607595475
311,-0.0140823903288161
312,-0.017499462334681
313,-0.0187064272598144
314,-0.0144377807773771
315,-0.0140706488234649
316,-0.0100383441035455
317,-0.0143061901630119
318,-0.00178577857275781
319,-0.0102288741918976
320,-0.0231850499718388
321,-0.0109277660367697
322,-0.0100383441035455
323,-0.0161611707708318
324,-0.0109738056201455
325,-0.00334813394645216
326,-0.0124623771574214
327,-0.0191077340007245
328,-0.0102288741918976
329,-0.0102288741918976
330,-0.0155635444731193
